iter	Passed	Remaining
531	193	169
532	193	169
533	193	168
534	193	168
535	194	168
536	194	167
537	194	167
538	195	167
539	195	166
540	196	166
541	196	166
542	196	165
543	196	165
544	197	164
545	197	164
546	197	163
547	198	163
548	198	163
549	198	162
550	199	162
551	199	161
552	199	161
553	199	160
554	199	160
555	200	159
556	200	159
557	200	158
558	200	158
559	201	157
560	201	157
561	201	157
562	201	156
563	201	156
564	202	155
565	202	155
566	202	154
567	202	154
568	203	153
569	203	153
570	203	152
571	204	152
572	204	152
573	204	151
574	204	151
575	205	151
576	205	150
577	206	150
578	206	150
579	207	149
580	207	149
581	207	149
582	208	148
583	208	148
584	208	148
585	209	147
586	209	147
587	209	147
588	210	146
589	210	146
590	210	145
591	211	145
592	211	145
593	211	144
594	211	144
595	212	143
596	212	143
597	212	142
598	212	142
599	213	142
600	213	141
601	213	141
602	213	140
603	214	140
604	214	139
605	214	139
606	214	139
607	214	138
608	215	138
609	215	137
610	215	137
611	215	136
612	216	136
613	216	136
614	216	135
615	216	135
616	217	134
617	217	134
618	217	134
619	218	133
620	218	133
621	218	132
622	218	132
62623	218	1362624	218	1362625	219	1362626	219	1362627	219	1362628	219	1262629	219	1263630	220	1263631	220	1263632	220	128
633	221	127
634	221	127
635	221	126
636	221	126
637	222	126
638	222	125
639	222	125
640	222	124
641	223	124
642	223	124
643	223	123
644	223	123
645	224	122
646	224	122
647	224	121
648	224	121
649	225	121
650	225	1265651	225	1265652	226	120
653	226	1165654	226	1165655	226	1165656	227	1165657	227	1165658	227	1165659	227	1166660	228	1166661	228	1166662	228	1166663	228	1166664	229	1166665	229	1166666	229	1166667	229	1166668	229	11669	230	113
670	230	113
671	230	112
672	231	112
67673	231	1167674	231	1167675	231	1167676	232	1167677	232	1167678	232	1067679	232	10680	233	109
681	233	108
682	234	108
68683	233	1068684	234	1068685	234	1068686	234	1068687	235	1068688	235	1068689	235	105
690	236	105
691	236	105
692	236	104
693	237	104
694	237	104
695	237	103
696	237	103
697	238	102
698	238	102
699	238	102
700	238	101
701	238	101
702	239	1070703	239	1070704	239	1070705	240	1706706	240	707707	240	99
708	240	98
709	241	710710	241	711711	241	712712	241	713713	242	714714	242	715715	242	716716	242	717717	243	95
718	243	95
719	244	94
720	244	94
721	244	94
722	245	723723	245	93
724	245	93
725	245	92
726	246	92
727	246	92
728	246	729729	246	730730	246	731731	247	90
732	247	90
733	248	89
734	248	89
735	248	89
736	248	88
737	249	88
738	249	88
739	249	87
740	250	87
741	250	87
742	251	86
743	251	86
744	251	86
745	252	85
746	252	85
747	252	85
748	252	749749	253	750750	253	751751	253	752752	254	753753	254	754754	255	755755	255	756756	255	82
757	256	81
758	256	81
759	256	81
760	256	80
761	257	80
762	257	79
763	257	79
764	257	79
765	258	78
766	258	78
767	258	78
768	259	77
769	259	77
770	259	77
771	260	76
772	260	76
773	261	76
774	261	775775	261	776776	261	777777	262	778778	262	74
779	262	74
780	262	73
781	263	782782	263	72
783	263	72
784	264	785785	264	786786	264	787787	265	71
788	265	71
789	265	70
790	266	70
791	266	69
792	266	69
793	266	69
794	267	68
795	267	68
796	267	68
797	267	67
798	267	67
799	268	67
